[2026-04-24 02:00:39] Starting retry crawl for error products...
[2026-04-24 02:00:39] Input file: /home/buiphamhoaithanh/crawl_output/retry_error.jsonl
[2026-04-24 02:04:06] RUNNING batch=4 size=15
[2026-04-24 02:04:06] QUEUE product_id=99050 retry=0
[2026-04-24 02:04:06] ACQUIRED product_id=99050 retry=0
[2026-04-24 02:04:06] QUEUE product_id=99252 retry=0
[2026-04-24 02:04:06] QUEUE product_id=90269 retry=0
[2026-04-24 02:04:06] QUEUE product_id=96103 retry=0
[2026-04-24 02:04:06] QUEUE product_id=101102 retry=0
[2026-04-24 02:04:06] QUEUE product_id=86704 retry=0
[2026-04-24 02:04:06] QUEUE product_id=96548 retry=0
[2026-04-24 02:04:06] QUEUE product_id=96500 retry=0
[2026-04-24 02:04:06] QUEUE product_id=85938 retry=0
[2026-04-24 02:04:06] QUEUE product_id=101981 retry=0
[2026-04-24 02:04:06] QUEUE product_id=100699 retry=0
[2026-04-24 02:04:06] QUEUE product_id=97112 retry=0
[2026-04-24 02:04:06] QUEUE product_id=99567 retry=0
[2026-04-24 02:04:06] QUEUE product_id=102542 retry=0
[2026-04-24 02:04:06] QUEUE product_id=110636 retry=0
[2026-04-24 02:04:09] STATUS product_id=99050 status=403
[2026-04-24 02:04:09] RETRY product_id=99050 reason=status_403 sleep=3.83s
[2026-04-24 02:04:09] ACQUIRED product_id=99252 retry=0
[2026-04-24 02:04:12] STATUS product_id=99252 status=404
[2026-04-24 02:04:12] ACQUIRED product_id=90269 retry=0
[2026-04-24 02:04:12] FINISHED product_id=99252 status=failed
[2026-04-24 02:04:13] QUEUE product_id=99050 retry=1
[2026-04-24 02:04:17] STATUS product_id=90269 status=200
[2026-04-24 02:04:17] ACQUIRED product_id=96103 retry=0
[2026-04-24 02:04:17] FINISHED product_id=90269 status=success
[2026-04-24 02:04:19] STATUS product_id=96103 status=403
[2026-04-24 02:04:19] RETRY product_id=96103 reason=status_403 sleep=3.95s
[2026-04-24 02:04:19] ACQUIRED product_id=101102 retry=0
[2026-04-24 02:04:23] STATUS product_id=101102 status=403
[2026-04-24 02:04:23] RETRY product_id=101102 reason=status_403 sleep=3.54s
[2026-04-24 02:04:23] ACQUIRED product_id=86704 retry=0
[2026-04-24 02:04:23] QUEUE product_id=96103 retry=1
[2026-04-24 02:04:26] STATUS product_id=86704 status=403
[2026-04-24 02:04:26] RETRY product_id=86704 reason=status_403 sleep=3.81s
[2026-04-24 02:04:26] ACQUIRED product_id=96548 retry=0
[2026-04-24 02:04:26] QUEUE product_id=101102 retry=1
[2026-04-24 02:04:30] QUEUE product_id=86704 retry=1
[2026-04-24 02:04:31] STATUS product_id=96548 status=200
[2026-04-24 02:04:31] ACQUIRED product_id=96500 retry=0
[2026-04-24 02:04:31] FINISHED product_id=96548 status=success
[2026-04-24 02:04:35] STATUS product_id=96500 status=404
[2026-04-24 02:04:35] ACQUIRED product_id=85938 retry=0
[2026-04-24 02:04:35] FINISHED product_id=96500 status=failed
[2026-04-24 02:04:38] STATUS product_id=85938 status=404
[2026-04-24 02:04:38] ACQUIRED product_id=101981 retry=0
[2026-04-24 02:04:38] FINISHED product_id=85938 status=failed
[2026-04-24 02:04:41] STATUS product_id=101981 status=404
[2026-04-24 02:04:41] ACQUIRED product_id=100699 retry=0
[2026-04-24 02:04:41] FINISHED product_id=101981 status=failed
[2026-04-24 02:04:45] STATUS product_id=100699 status=403
[2026-04-24 02:04:45] RETRY product_id=100699 reason=status_403 sleep=3.61s
[2026-04-24 02:04:45] ACQUIRED product_id=97112 retry=0
[2026-04-24 02:04:49] STATUS product_id=97112 status=403
[2026-04-24 02:04:49] RETRY product_id=97112 reason=status_403 sleep=3.63s
[2026-04-24 02:04:49] ACQUIRED product_id=99567 retry=0
[2026-04-24 02:04:49] QUEUE product_id=100699 retry=1
[2026-04-24 02:04:51] STATUS product_id=99567 status=403
[2026-04-24 02:04:51] RETRY product_id=99567 reason=status_403 sleep=3.69s
[2026-04-24 02:04:51] ACQUIRED product_id=102542 retry=0
[2026-04-24 02:04:52] QUEUE product_id=97112 retry=1
[2026-04-24 02:04:54] STATUS product_id=102542 status=403
[2026-04-24 02:04:54] RETRY product_id=102542 reason=status_403 sleep=3.99s
[2026-04-24 02:04:54] ACQUIRED product_id=110636 retry=0
[2026-04-24 02:04:55] QUEUE product_id=99567 retry=1
[2026-04-24 02:04:57] STATUS product_id=110636 status=403
[2026-04-24 02:04:57] RETRY product_id=110636 reason=status_403 sleep=3.89s
[2026-04-24 02:04:57] ACQUIRED product_id=99050 retry=1
[2026-04-24 02:04:58] QUEUE product_id=102542 retry=1
[2026-04-24 02:05:01] QUEUE product_id=110636 retry=1
[2026-04-24 02:05:01] STATUS product_id=99050 status=403
[2026-04-24 02:05:01] ACQUIRED product_id=96103 retry=1
[2026-04-24 02:05:01] FINISHED product_id=99050 status=failed
[2026-04-24 02:05:03] STATUS product_id=96103 status=403
[2026-04-24 02:05:03] ACQUIRED product_id=101102 retry=1
[2026-04-24 02:05:03] FINISHED product_id=96103 status=failed
[2026-04-24 02:05:07] STATUS product_id=101102 status=403
[2026-04-24 02:05:07] ACQUIRED product_id=86704 retry=1
[2026-04-24 02:05:07] FINISHED product_id=101102 status=failed
[2026-04-24 02:05:10] STATUS product_id=86704 status=403
[2026-04-24 02:05:10] ACQUIRED product_id=100699 retry=1
[2026-04-24 02:05:10] FINISHED product_id=86704 status=failed
[2026-04-24 02:05:15] STATUS product_id=100699 status=200
[2026-04-24 02:05:15] ACQUIRED product_id=97112 retry=1
[2026-04-24 02:05:15] FINISHED product_id=100699 status=success
[2026-04-24 02:05:18] STATUS product_id=97112 status=403
[2026-04-24 02:05:18] ACQUIRED product_id=99567 retry=1
[2026-04-24 02:05:18] FINISHED product_id=97112 status=failed
[2026-04-24 02:05:21] STATUS product_id=99567 status=403
[2026-04-24 02:05:21] ACQUIRED product_id=102542 retry=1
[2026-04-24 02:05:21] FINISHED product_id=99567 status=failed
[2026-04-24 02:05:25] STATUS product_id=102542 status=404
[2026-04-24 02:05:25] ACQUIRED product_id=110636 retry=1
[2026-04-24 02:05:25] FINISHED product_id=102542 status=failed
[2026-04-24 02:05:28] STATUS product_id=110636 status=403
[2026-04-24 02:05:28] FINISHED product_id=110636 status=failed
[2026-04-24 02:05:28] Batch 4: total=15, success=3, error=12, time=82.30s
[2026-04-24 02:05:31] RUNNING batch=5 size=15
[2026-04-24 02:05:31] QUEUE product_id=97371 retry=0
[2026-04-24 02:05:31] ACQUIRED product_id=97371 retry=0
