[2026-04-23 15:23:16] Starting async crawl...
[2026-04-23 15:23:16] Input file: /home/buiphamhoaithanh/processed_data/distinct_products.json
[2026-04-23 15:23:16] Concurrency=2, Batch size=5, Retries=0, Timeout(total/connect/read)=10/5/5
[2026-04-23 15:24:11] ACQUIRED product_id=90183 retry=0
[2026-04-23 15:24:11] STATUS product_id=90183 status=403
[2026-04-23 15:24:11] ACQUIRED product_id=96459 retry=0
[2026-04-23 15:24:11] STATUS product_id=85809 status=200
[2026-04-23 15:24:11] ACQUIRED product_id=109726 retry=0
[2026-04-23 15:24:11] STATUS product_id=109726 status=403
[2026-04-23 15:24:13] STATUS product_id=96459 status=200
[2026-04-23 15:24:13] Batch 14: total=5, success=3, error=2, time=3.07s
[2026-04-23 15:24:14] RUNNING batch=15 size=5
[2026-04-23 15:24:14] QUEUE product_id=90940 retry=0
[2026-04-23 15:24:14] ACQUIRED product_id=90940 retry=0
[2026-04-23 15:24:14] QUEUE product_id=84883 retry=0
[2026-04-23 15:24:14] ACQUIRED product_id=84883 retry=0
[2026-04-23 15:24:14] QUEUE product_id=98252 retry=0
[2026-04-23 15:24:14] QUEUE product_id=103324 retry=0
[2026-04-23 15:24:14] QUEUE product_id=92405 retry=0
[2026-04-23 15:24:14] STATUS product_id=84883 status=403
[2026-04-23 15:24:14] ACQUIRED product_id=98252 retry=0
[2026-04-23 15:24:14] STATUS product_id=98252 status=403
[2026-04-23 15:24:14] ACQUIRED product_id=103324 retry=0
[2026-04-23 15:24:15] STATUS product_id=90940 status=200
[2026-04-23 15:24:15] ACQUIRED product_id=92405 retry=0
[2026-04-23 15:24:15] STATUS product_id=103324 status=200
[2026-04-23 15:24:18] STATUS product_id=92405 status=200
[2026-04-23 15:24:18] Batch 15: total=5, success=3, error=2, time=3.52s
[2026-04-23 15:24:19] RUNNING batch=16 size=5
[2026-04-23 15:24:19] QUEUE product_id=103508 retry=0
[2026-04-23 15:24:19] ACQUIRED product_id=103508 retry=0
[2026-04-23 15:24:19] QUEUE product_id=98357 retry=0
[2026-04-23 15:24:19] ACQUIRED product_id=98357 retry=0
[2026-04-23 15:24:19] QUEUE product_id=89601 retry=0
[2026-04-23 15:24:19] QUEUE product_id=91046 retry=0
[2026-04-23 15:24:19] QUEUE product_id=80297 retry=0
[2026-04-23 15:24:20] STATUS product_id=103508 status=200
[2026-04-23 15:24:20] ACQUIRED product_id=89601 retry=0
[2026-04-23 15:24:20] STATUS product_id=98357 status=200
[2026-04-23 15:24:20] ACQUIRED product_id=91046 retry=0
[2026-04-23 15:24:22] STATUS product_id=89601 status=200
[2026-04-23 15:24:22] ACQUIRED product_id=80297 retry=0
[2026-04-23 15:24:22] STATUS product_id=91046 status=200
[2026-04-23 15:24:25] STATUS product_id=80297 status=200
[2026-04-23 15:24:25] Batch 16: total=5, success=5, error=0, time=6.57s
[2026-04-23 15:24:26] RUNNING batch=17 size=5
[2026-04-23 15:24:26] QUEUE product_id=110020 retry=0
[2026-04-23 15:24:26] ACQUIRED product_id=110020 retry=0
[2026-04-23 15:24:26] QUEUE product_id=92397 retry=0
[2026-04-23 15:24:26] ACQUIRED product_id=92397 retry=0
[2026-04-23 15:24:26] QUEUE product_id=104183 retry=0
[2026-04-23 15:24:26] QUEUE product_id=102065 retry=0
[2026-04-23 15:24:26] QUEUE product_id=95760 retry=0
[2026-04-23 15:24:26] STATUS product_id=110020 status=403
[2026-04-23 15:24:26] ACQUIRED product_id=104183 retry=0
[2026-04-23 15:24:28] STATUS product_id=92397 status=200
[2026-04-23 15:24:28] ACQUIRED product_id=102065 retry=0
[2026-04-23 15:24:28] STATUS product_id=104183 status=200
[2026-04-23 15:24:28] ACQUIRED product_id=95760 retry=0
[2026-04-23 15:24:29] STATUS product_id=102065 status=200
[2026-04-23 15:24:30] STATUS product_id=95760 status=200
[2026-04-23 15:24:30] Batch 17: total=5, success=4, error=1, time=3.51s
[2026-04-23 15:24:31] RUNNING batch=18 size=5
[2026-04-23 15:24:31] QUEUE product_id=84792 retry=0
[2026-04-23 15:24:31] ACQUIRED product_id=84792 retry=0
[2026-04-23 15:24:31] QUEUE product_id=99558 retry=0
[2026-04-23 15:24:31] ACQUIRED product_id=99558 retry=0
[2026-04-23 15:24:31] QUEUE product_id=102504 retry=0
[2026-04-23 15:24:31] QUEUE product_id=103352 retry=0
[2026-04-23 15:24:31] QUEUE product_id=103939 retry=0
[2026-04-23 15:24:31] STATUS product_id=99558 status=403
[2026-04-23 15:24:31] ACQUIRED product_id=102504 retry=0
[2026-04-23 15:24:32] STATUS product_id=102504 status=403
[2026-04-23 15:24:32] ACQUIRED product_id=103352 retry=0
[2026-04-23 15:24:33] STATUS product_id=103352 status=200
[2026-04-23 15:24:33] ACQUIRED product_id=103939 retry=0
[2026-04-23 15:24:34] STATUS product_id=103939 status=200
[2026-04-23 15:24:35] STATUS product_id=84792 status=200
[2026-04-23 15:24:35] Batch 18: total=5, success=3, error=2, time=3.32s
[2026-04-23 15:24:36] RUNNING batch=19 size=5
[2026-04-23 15:24:36] QUEUE product_id=110561 retry=0
[2026-04-23 15:24:36] ACQUIRED product_id=110561 retry=0
[2026-04-23 15:24:36] QUEUE product_id=84859 retry=0
[2026-04-23 15:24:36] ACQUIRED product_id=84859 retry=0
[2026-04-23 15:24:36] QUEUE product_id=96047 retry=0
[2026-04-23 15:24:36] QUEUE product_id=108732 retry=0
[2026-04-23 15:24:36] QUEUE product_id=80315 retry=0
[2026-04-23 15:24:37] STATUS product_id=110561 status=200
[2026-04-23 15:24:37] ACQUIRED product_id=96047 retry=0
[2026-04-23 15:24:38] STATUS product_id=84859 status=200
[2026-04-23 15:24:38] ACQUIRED product_id=108732 retry=0
[2026-04-23 15:24:38] STATUS product_id=96047 status=200
[2026-04-23 15:24:38] ACQUIRED product_id=80315 retry=0
[2026-04-23 15:24:38] STATUS product_id=80315 status=403
[2026-04-23 15:24:39] STATUS product_id=108732 status=200
[2026-04-23 15:24:39] Batch 19: total=5, success=4, error=1, time=3.02s
[2026-04-23 15:24:40] RUNNING batch=20 size=5
[2026-04-23 15:24:40] QUEUE product_id=99682 retry=0
[2026-04-23 15:24:40] ACQUIRED product_id=99682 retry=0
[2026-04-23 15:24:40] QUEUE product_id=95560 retry=0
[2026-04-23 15:24:40] ACQUIRED product_id=95560 retry=0
[2026-04-23 15:24:40] QUEUE product_id=92307 retry=0
[2026-04-23 15:24:40] QUEUE product_id=98154 retry=0
[2026-04-23 15:24:40] QUEUE product_id=92735 retry=0
[2026-04-23 15:24:41] STATUS product_id=95560 status=403
[2026-04-23 15:24:41] ACQUIRED product_id=92307 retry=0
[2026-04-23 15:24:42] STATUS product_id=92307 status=200
[2026-04-23 15:24:42] ACQUIRED product_id=98154 retry=0
[2026-04-23 15:24:43] STATUS product_id=98154 status=200
[2026-04-23 15:24:43] ACQUIRED product_id=92735 retry=0
[2026-04-23 15:24:44] STATUS product_id=99682 status=200
[2026-04-23 15:24:46] STATUS product_id=92735 status=200
[2026-04-23 15:24:46] Batch 20: total=5, success=4, error=1, time=5.83s
[2026-04-23 15:24:47] RUNNING batch=21 size=5
[2026-04-23 15:24:47] QUEUE product_id=100982 retry=0
[2026-04-23 15:24:47] ACQUIRED product_id=100982 retry=0
[2026-04-23 15:24:47] QUEUE product_id=110381 retry=0
[2026-04-23 15:24:47] ACQUIRED product_id=110381 retry=0
[2026-04-23 15:24:47] QUEUE product_id=84806 retry=0
[2026-04-23 15:24:47] QUEUE product_id=93360 retry=0
[2026-04-23 15:24:47] QUEUE product_id=98811 retry=0
[2026-04-23 15:24:49] STATUS product_id=100982 status=200
[2026-04-23 15:24:49] ACQUIRED product_id=84806 retry=0
[2026-04-23 15:24:49] STATUS product_id=110381 status=200
[2026-04-23 15:24:49] ACQUIRED product_id=93360 retry=0
[2026-04-23 15:24:49] STATUS product_id=93360 status=403
[2026-04-23 15:24:49] ACQUIRED product_id=98811 retry=0
[2026-04-23 15:24:50] STATUS product_id=84806 status=200
[2026-04-23 15:24:50] STATUS product_id=98811 status=200
[2026-04-23 15:24:50] Batch 21: total=5, success=4, error=1, time=2.90s
[2026-04-23 15:24:52] RUNNING batch=22 size=5
[2026-04-23 15:24:52] QUEUE product_id=92443 retry=0
[2026-04-23 15:24:52] ACQUIRED product_id=92443 retry=0
[2026-04-23 15:24:52] QUEUE product_id=96557 retry=0
[2026-04-23 15:24:52] ACQUIRED product_id=96557 retry=0
[2026-04-23 15:24:52] QUEUE product_id=91056 retry=0
[2026-04-23 15:24:52] QUEUE product_id=90657 retry=0
[2026-04-23 15:24:52] QUEUE product_id=92389 retry=0
[2026-04-23 15:24:52] STATUS product_id=92443 status=403
[2026-04-23 15:24:52] ACQUIRED product_id=91056 retry=0
[2026-04-23 15:24:53] STATUS product_id=91056 status=404
[2026-04-23 15:24:53] ACQUIRED product_id=90657 retry=0
[2026-04-23 15:24:54] STATUS product_id=90657 status=200
[2026-04-23 15:24:54] ACQUIRED product_id=92389 retry=0
[2026-04-23 15:24:54] STATUS product_id=92389 status=403
[2026-04-23 15:24:56] STATUS product_id=96557 status=200
[2026-04-23 15:24:56] Batch 22: total=5, success=2, error=3, time=3.67s
[2026-04-23 15:24:57] RUNNING batch=23 size=5
[2026-04-23 15:24:57] QUEUE product_id=102980 retry=0
[2026-04-23 15:24:57] ACQUIRED product_id=102980 retry=0
[2026-04-23 15:24:57] QUEUE product_id=84871 retry=0
[2026-04-23 15:24:57] ACQUIRED product_id=84871 retry=0
[2026-04-23 15:24:57] QUEUE product_id=104577 retry=0
[2026-04-23 15:24:57] QUEUE product_id=104040 retry=0
[2026-04-23 15:24:57] QUEUE product_id=97868 retry=0
[2026-04-23 15:24:57] STATUS product_id=102980 status=404
[2026-04-23 15:24:57] ACQUIRED product_id=104577 retry=0
[2026-04-23 15:24:58] STATUS product_id=104577 status=403
[2026-04-23 15:24:58] ACQUIRED product_id=104040 retry=0
[2026-04-23 15:24:59] STATUS product_id=104040 status=200
[2026-04-23 15:24:59] ACQUIRED product_id=97868 retry=0
[2026-04-23 15:24:59] STATUS product_id=84871 status=200
[2026-04-23 15:24:59] STATUS product_id=97868 status=403
[2026-04-23 15:24:59] Batch 23: total=5, success=2, error=3, time=2.32s
[2026-04-23 15:25:00] RUNNING batch=24 size=5
[2026-04-23 15:25:00] QUEUE product_id=85796 retry=0
[2026-04-23 15:25:00] ACQUIRED product_id=85796 retry=0
[2026-04-23 15:25:00] QUEUE product_id=110606 retry=0
[2026-04-23 15:25:00] ACQUIRED product_id=110606 retry=0
[2026-04-23 15:25:00] QUEUE product_id=92370 retry=0
[2026-04-23 15:25:00] QUEUE product_id=110002 retry=0
[2026-04-23 15:25:00] QUEUE product_id=101868 retry=0
[2026-04-23 15:25:01] STATUS product_id=110606 status=404
[2026-04-23 15:25:01] ACQUIRED product_id=92370 retry=0
[2026-04-23 15:25:02] STATUS product_id=85796 status=200
[2026-04-23 15:25:02] ACQUIRED product_id=110002 retry=0
[2026-04-23 15:25:02] STATUS product_id=92370 status=200
[2026-04-23 15:25:02] ACQUIRED product_id=101868 retry=0
[2026-04-23 15:25:02] STATUS product_id=101868 status=403
[2026-04-23 15:25:03] STATUS product_id=110002 status=200
[2026-04-23 15:25:03] Batch 24: total=5, success=3, error=2, time=3.37s
[2026-04-23 15:25:05] RUNNING batch=25 size=5
[2026-04-23 15:25:05] QUEUE product_id=90742 retry=0
[2026-04-23 15:25:05] ACQUIRED product_id=90742 retry=0
[2026-04-23 15:25:05] QUEUE product_id=99991 retry=0
[2026-04-23 15:25:05] ACQUIRED product_id=99991 retry=0
[2026-04-23 15:25:05] QUEUE product_id=89436 retry=0
[2026-04-23 15:25:05] QUEUE product_id=93576 retry=0
[2026-04-23 15:25:05] QUEUE product_id=99688 retry=0
[2026-04-23 15:25:05] STATUS product_id=99991 status=403
[2026-04-23 15:25:05] ACQUIRED product_id=89436 retry=0
[2026-04-23 15:25:05] STATUS product_id=89436 status=403
[2026-04-23 15:25:05] ACQUIRED product_id=93576 retry=0
[2026-04-23 15:25:07] STATUS product_id=93576 status=200
[2026-04-23 15:25:07] ACQUIRED product_id=99688 retry=0
[2026-04-23 15:25:07] STATUS product_id=90742 status=200
[2026-04-23 15:25:08] STATUS product_id=99688 status=200
[2026-04-23 15:25:08] Batch 25: total=5, success=3, error=2, time=2.56s
[2026-04-23 15:25:09] RUNNING batch=26 size=5
[2026-04-23 15:25:09] QUEUE product_id=90474 retry=0
[2026-04-23 15:25:09] ACQUIRED product_id=90474 retry=0
[2026-04-23 15:25:09] QUEUE product_id=80272 retry=0
[2026-04-23 15:25:09] ACQUIRED product_id=80272 retry=0
[2026-04-23 15:25:09] QUEUE product_id=92325 retry=0
